Год,Количество родившихся чел.
1959,2796228
1960,2782353
1961,2662135
1962,2482539
1963,2331505
1964,2121994
1965,1990520
1966,1957763
1967,1851041
1968,1816509
1969,1847592
1970,1903713
1971,1974637
1972,2014638
1973,1994621
1974,2079812
1975,2106147
1976,2146711
1977,2156724
1978,2179030
1979,2178542
1980,2202779
1981,2236608
1982,2328044
1983,2478322
1984,2409614
1985,2375147
1986,2485915
1987,2499974
1988,2348494
1989,2160559
1990,1988858
1991,1794626
1992,1587644
1993,1378983
1994,1408159
1995,1363806
1996,1304638
1997,1259943
1998,1283292
1999,1214689
2000,1266800
2001,1311604
2002,1396967
2003,1477301
2004,1502477
2005,1457376
2006,1479637
2007,1610122
2008,1713947
2009,1767687
2010,1788948
2011,1796629
2012,1902084
2013,1895822
2014,1947301
2015,1944136
2016,1893256
2017,1689884
2018,1599316
2019,1484517
2020,1435750
2021,1402834
